key;en;es;gl
text;;“Hola Querida, te espero en lo alto de la montaña.”;
text;;“Ven de noche, sola, te lo explicare todo.”;
change_name-girl;;Chica;
text;;Desde luego parece que le cobraban por cada letra.;
text;;No podía andarse con mas aires de misterioso aunque quisiera.;
text;;¿A quién se le ocurre llevar días desaparecido y enviar unicamente esto?;
text;;Desde luego es su letra, solo el escribre tan mal. Aunque esta peor escrito que de normal.;
text;;No quiero tardar mucho mas, deberia seguir andando;
text;;Todo recto hacia arriba, deberia andar seguido sin pararme;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
text;;;
load_animation-do_a_barrel_roll;;;
